n_qubits,window,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,mean_smape,std_smape,rank_mean_mae,rank_mean_rmse,rank_mean_wape,rank_mean_smape,avg_rank
5,13,470.9079856116095,,547.2993767209318,,0.21745254619034718,,0.24406800678622706,,38.0,34.0,38.0,38.0,37.0
10,7,470.15741926967297,,557.1429735017455,,0.2171059549939229,,0.24347356603022366,,37.0,40.0,37.0,36.0,37.5
14,5,474.78228757339116,,545.4689883472644,,0.21924159384305472,,0.24551511294905706,,40.0,29.0,40.0,41.0,37.5
12,11,471.789539139507,,554.6356655944829,,0.21785962371950696,,0.24388337557916676,,39.0,39.0,39.0,37.0,38.5
7,13,478.51171223154324,,546.4525922504372,,0.2209637410831083,,0.24730757750274368,,42.0,33.0,42.0,43.0,40.0
7,3,480.62193157178797,,568.5888606671389,,0.22193818318767433,,0.24686385714372072,,43.0,45.0,43.0,42.0,43.25
8,3,489.0896578676155,,557.6753336855597,,0.2258483497164478,,0.2526501261415235,,45.0,41.0,45.0,44.0,43.75
14,9,489.0187951450807,,564.9531408841532,,0.2258156272315548,,0.25462388154666143,,44.0,43.0,44.0,45.0,44.0
10,5,492.3329098407372,,582.8670243511425,,0.22734599558579152,,0.2553419499642168,,46.0,46.0,46.0,46.0,46.0
5,3,560.646298608114,,645.4451791543322,,0.25889126723172406,,0.291828125996185,,47.0,47.0,47.0,47.0,47.0
16,3,566.4731168685303,,685.8963393711566,,0.2615819339981207,,0.29805792309930995,,48.0,48.0,48.0,48.0,48.0
