n_qubits,window,seed,mae,rmse,wape,smape
6,5,17,457.53412263456994,538.8130621883837,0.2112768586980636,0.23481373228660615
6,5,23,475.0467147358382,570.5194342447807,0.21936369914071985,0.24636384531972086
6,7,3,462.3843013231138,544.411039622274,0.21351653977701623,0.23970357431975628
6,7,7,446.5614730096943,525.9321668890484,0.20620998645913816,0.2306550487068131
6,7,11,437.2744652543322,516.6428670918128,0.2019214979548073,0.22751151818932477
6,7,17,436.25663551373,519.0113962368841,0.20145149176369387,0.22721513005084823
6,7,23,439.43047971344197,505.30926311418466,0.2029170870042215,0.22774832947595883
6,9,3,440.37679997750143,525.7552746025377,0.20335407205696804,0.22713043775547992
6,9,7,450.30971089242604,532.5488402975247,0.20794082113646592,0.2328410574049858
6,9,11,458.95051045120687,535.9394972040074,0.21193090820780097,0.23645226095727676
6,9,17,463.7283062730858,545.7935329940501,0.2141371648404971,0.2403671791256056
6,9,23,466.72169492071765,550.0366325582844,0.21551943059740375,0.24099027313025395
7,3,3,426.47048319058047,509.775136936174,0.19693251182473276,0.21753701937754646
7,3,7,480.62193157178797,568.5888606671389,0.22193818318767433,0.24686385714372072
7,3,11,446.73950902458125,532.7743517030558,0.20629219866605256,0.23218370453272577
7,3,17,464.8875759464615,550.4889643543348,0.21467248415955553,0.24024113537021038
7,3,23,510.4494679829291,612.8488803351509,0.23571173117871955,0.26595516886504394
7,5,3,474.5058428746923,572.5021277749654,0.21911393917282265,0.24678712790044777
7,5,7,456.90374530921594,525.773547931388,0.21098576753238532,0.23620970196064725
7,5,11,456.57543317316475,538.773105723699,0.21083416188518697,0.23754984470540233
7,5,17,488.8185472411967,580.9865484776234,0.2257231581762418,0.2512735598353416
7,5,23,446.03714502802086,526.1416267051183,0.20596786600644368,0.22989149184816082
7,7,3,447.6254138473529,549.6941129275165,0.20670128550526554,0.23054692952712938
7,7,7,446.8049562501051,537.0541632661337,0.2063224204211854,0.23116520323647963
7,7,11,459.28274575138374,547.027781034751,0.21208432546587516,0.2370839985037389
7,7,17,476.84857993890256,559.4477978977823,0.22019575166110605,0.24782586713197408
7,7,23,429.15695118941187,512.7251730825374,0.19817304994354606,0.2246502663884298
7,9,3,481.1331777769938,564.6477332429549,0.2221742628305111,0.2497282634253578
7,9,7,441.1227256705775,520.2662706255875,0.20369852032750974,0.22850465484941443
7,9,11,453.918982333255,530.8230706292969,0.20960748487690134,0.23567276180097835
7,9,17,471.3302928875309,558.5355330525115,0.21764755624587753,0.24507269823764194
7,9,23,458.9333810218393,551.8883603928563,0.21192299830152508,0.2371707519394679
8,3,3,511.7861781195591,606.7641300649171,0.23632898769508787,0.2596320802675803
8,3,7,489.0896578676155,557.6753336855597,0.2258483497164478,0.2526501261415235
8,3,11,450.87438632906355,552.3705233054997,0.20820157295045033,0.23149696762657918
8,3,17,476.03499681779005,559.9043752729431,0.2198200610238075,0.24573945758941215
8,3,23,500.3003546437517,613.2123378568775,0.23102514567876847,0.26161732353226114
8,5,3,471.4568003784244,541.2636928434791,0.21770597397683028,0.24273147042166393
8,5,7,455.83268536520063,526.9489961813957,0.21049118107586956,0.23421789832482148
8,5,11,416.5512236896878,494.527806186952,0.19235206659828274,0.21685019810760575
8,5,17,422.3271330794113,494.5219152157558,0.19501922502781932,0.21969368809440384
8,5,23,485.6039096927369,594.6014511800041,0.22423872567275857,0.2524939248031805
8,7,3,484.27996550382625,572.3249407367448,0.22362736412509102,0.24971869379668338
8,7,7,461.88354285270105,559.546931791424,0.21328530308589025,0.23740165309479494
8,7,11,450.5032774190283,531.9846186096872,0.20803020491281493,0.2326815920214116
8,7,17,465.4284659891671,547.9670753270533,0.21492225252320427,0.2411289209781466
8,7,23,439.37376418026645,517.679143029704,0.20289089730798704,0.2283596952636842
8,9,3,457.56685330349006,536.2462559182105,0.21129197283397266,0.23621613214977455
8,9,7,451.2361840688178,540.5173078848599,0.20836864134198183,0.23267393763649807
8,9,11,437.2403435254352,519.2361175612513,0.20190574146509854,0.22533800067209736
8,9,17,436.012352319759,513.9635036919009,0.20133868840477118,0.22373548436391794
8,9,23,469.81338249562776,550.0727536984601,0.21694708813503522,0.24231808000490337
